MutualExclusion,NThreads,val_a,val_b,nRectangles/Sub-Intervals,Result
./trap_mutex,1,20.000000,40.000000,12,18675.925926
./trap_mutex,2,20.000000,40.000000,12,18675.925926
./trap_mutex,4,20.000000,40.000000,12,18675.925926
./trap_mutex,6,20.000000,40.000000,12,18675.925926
./trap_mutex,8,20.000000,40.000000,12,9685.185185
./trap_mutex,10,20.000000,40.000000,12,13773.148148
./trap_mutex,12,20.000000,40.000000,12,18675.925926
./trap_mutex,14,20.000000,40.000000,12,9333.333333
./trap_mutex,16,20.000000,40.000000,12,10666.666667
./trap_mutex,18,20.000000,40.000000,12,12000.000000
./trap_mutex,20,20.000000,40.000000,12,13333.333333
./trap_mutex,22,20.000000,40.000000,12,14666.666667
./trap_mutex,24,20.000000,40.000000,12,16000.000000
./trap_mutex,26,20.000000,40.000000,12,17333.333333
./trap_mutex,28,20.000000,40.000000,12,18666.666667
./trap_mutex,30,20.000000,40.000000,12,20000.000000
./trap_mutex,32,20.000000,40.000000,12,21333.333333
./trap_mutex,34,20.000000,40.000000,12,22666.666667
./trap_mutex,36,20.000000,40.000000,12,24000.000000
./trap_mutex,38,20.000000,40.000000,12,25333.333333
./trap_mutex,40,20.000000,40.000000,12,26666.666667
./trap_mutex,42,20.000000,40.000000,12,28000.000000
./trap_mutex,44,20.000000,40.000000,12,29333.333333
./trap_mutex,46,20.000000,40.000000,12,30666.666667
./trap_mutex,48,20.000000,40.000000,12,32000.000000
./trap_mutex,50,20.000000,40.000000,12,33333.333333
./trap_mutex,52,20.000000,40.000000,12,34666.666667
./trap_mutex,54,20.000000,40.000000,12,36000.000000
./trap_mutex,56,20.000000,40.000000,12,37333.333333
./trap_mutex,58,20.000000,40.000000,12,38666.666667
./trap_mutex,60,20.000000,40.000000,12,40000.000000
./trap_mutex,62,20.000000,40.000000,12,41333.333333
./trap_mutex,64,20.000000,40.000000,12,42666.666667
