MutualExclusion,NThreads,val_a,val_b,nRectangles/Sub-Intervals,Result,Time(ms)
./trap_busywaiting,1,20.000000,40.000000,12,18675.925926,2.104044
./trap_busywaiting,2,20.000000,40.000000,12,18675.925926,0.174046
./trap_busywaiting,4,20.000000,40.000000,12,18675.925926,1.449108
./trap_busywaiting,6,20.000000,40.000000,12,18675.925926,3.500938
./trap_busywaiting,8,20.000000,40.000000,12,9685.185185,0.258923
./trap_busywaiting,10,20.000000,40.000000,12,13773.148148,0.334978
./trap_busywaiting,12,20.000000,40.000000,12,18675.925926,0.455856
./trap_busywaiting,14,20.000000,40.000000,12,9333.333333,0.349998
./trap_busywaiting,16,20.000000,40.000000,12,10666.666667,0.441790
./trap_busywaiting,18,20.000000,40.000000,12,12000.000000,0.412941
./trap_busywaiting,20,20.000000,40.000000,12,13333.333333,0.475883
./trap_busywaiting,22,20.000000,40.000000,12,14666.666667,0.844955
./trap_busywaiting,24,20.000000,40.000000,12,16000.000000,0.611067
./trap_busywaiting,26,20.000000,40.000000,12,17333.333333,0.682831
./trap_busywaiting,28,20.000000,40.000000,12,18666.666667,0.705004
./trap_busywaiting,30,20.000000,40.000000,12,20000.000000,1.118898
./trap_busywaiting,32,20.000000,40.000000,12,21333.333333,0.725985
./trap_busywaiting,34,20.000000,40.000000,12,22666.666667,0.856876
./trap_busywaiting,36,20.000000,40.000000,12,24000.000000,0.828981
./trap_busywaiting,38,20.000000,40.000000,12,25333.333333,1.015902
./trap_busywaiting,40,20.000000,40.000000,12,26666.666667,1.045942
./trap_busywaiting,42,20.000000,40.000000,12,28000.000000,1.026154
./trap_busywaiting,44,20.000000,40.000000,12,29333.333333,1.845121
./trap_busywaiting,46,20.000000,40.000000,12,30666.666667,1.057863
./trap_busywaiting,48,20.000000,40.000000,12,32000.000000,1.061916
./trap_busywaiting,50,20.000000,40.000000,12,33333.333333,1.386166
./trap_busywaiting,52,20.000000,40.000000,12,34666.666667,1.130819
./trap_busywaiting,54,20.000000,40.000000,12,36000.000000,1.262188
./trap_busywaiting,56,20.000000,40.000000,12,37333.333333,1.511097
./trap_busywaiting,58,20.000000,40.000000,12,38666.666667,1.442194
./trap_busywaiting,60,20.000000,40.000000,12,40000.000000,1.694918
./trap_busywaiting,62,20.000000,40.000000,12,41333.333333,1.409054
./trap_busywaiting,64,20.000000,40.000000,12,42666.666667,1.763105
